text	audience	factual	dependency	count	surfaces	sources	states
[aria-label] Use the arrow keys to move between slides	ACCESSIBILITY	no		16	/ (index.html) | /accommodation | /experiences | /journeys | /your-journey | /your-journey · Essential journey	accommodation.html | experiences.html | index.html | journeys.html · assets/rooms.js label() | your-journey.html | your-journey.html fxOpen("cost") · csBuild() | your-journey.html · assets/journey.js 	AUTHENTICATED PRIVATE STATE · PRESET DRAWER OPEN · Essential | AUTHENTICATED PRIVATE STATE · SIGNED IN · COMPLETE JOURNEY a | AUTHENTICATED PRIVATE STATE · SIGNED IN · current selections | AUTHENTICATED PRIVATE STATE · SIGNED IN · nothing chosen · e | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out ·
[aria-label] The Chao Phraya river and the Bangkok skyline	ACCESSIBILITY	yes		2	/ (index.html) | /destination	destination.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
01 · Thailand	PUBLIC	no		3	/ (index.html) | /destination | /experiences	destination.html | experiences.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Bangkok	GUEST/PUBLIC	yes		13	/ (index.html) | / · the site menu | /destination | /experiences | /room?stay=sathorn&room=penthouse | /room?stay=sathorn&room=shama-king-studio-balcony | /room?stay=sathorn&room=u-sathorn-superior-garden | /your-journey	assets/aman.js buildMenu() | destination.html | experiences.html | index.html | room.html | room.html · assets/rooms-data.js | your-journey.html | your-journey.html · assets/journey.js · assets/rooms.	AUTHENTICATED PRIVATE STATE · SIGNED IN · COMPLETE JOURNEY a | AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | AUTHENTICATED PRIVATE STATE · SIGNED IN · nothing chosen · e | AUTHENTICATED PRIVATE STATE · SIGNED IN · the six-bedroom Pe | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out ·
The shared city days before the wedding — the river, the temples, and the night train waiting to go north.	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Discover more	PUBLIC	no		10	/ (index.html) | /accommodation	accommodation.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] A street in Vientiane in the morning light	ACCESSIBILITY	yes		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
02 · Laos	PUBLIC	no		3	/ (index.html) | /destination | /experiences	destination.html | experiences.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Vientiane	GUEST/PUBLIC	yes		11	/ (index.html) | / · the site menu | /destination | /experiences | /your-journey | /your-journey (the hosts) | /your-journey · a stay stage	assets/aman.js buildMenu() | destination.html | experiences.html | index.html | your-journey.html | your-journey.html openStage() | your-journey.html · assets/journey.js · assets/rooms.js · assets/sta	AUTHENTICATED PRIVATE STATE · SIGNED IN · COMPLETE JOURNEY a | AUTHENTICATED PRIVATE STATE · SIGNED IN · Haruthai holds the | AUTHENTICATED PRIVATE STATE · SIGNED IN · nothing chosen · e | AUTHENTICATED PRIVATE STATE · STAY REMOVED · the stage open  | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out ·
The quiet capital on the Mekong — golden stupas, a French avenue, and the one day the whole journey leans toward.	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] Black Dragon Pool in Lijiang, Jade Dragon Snow Mountain behind it	ACCESSIBILITY	yes		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
03 · China	PUBLIC	no		2	/ (index.html) | /destination	destination.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
China	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Kunming and Lijiang after the wedding — the city of eternal spring, then the old town below the snow mountain.	PUBLIC	yes		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] Carousel position	ACCESSIBILITY	no		49	/ (index.html) | /accommodation | /experience?id=bkk-alati | /experience?id=bkk-commons | /experience?id=bkk-curvy | /experience?id=bkk-dib | /experience?id=bkk-diorlv | /experience?id=bkk-dusit | /experience?id=bkk-emquartier | /experience?id=bkk-harudot | /experience?id=bkk-iconsiam | /experience?id=bkk-igniv | /experience?id=bkk-letsrelax | /experience?id=bkk-lvvisionary | /experience?id=bkk-ma	accommodation.html | experience.html | experience.html · assets/experiences.js · assets/experience-galleries.js | experience.html · assets/pricing.js FLAT.suhring | experiences.html | index.html | jou	AUTHENTICATED PRIVATE STATE · PRESET DRAWER OPEN · Essential | AUTHENTICATED PRIVATE STATE · SIGNED IN · COMPLETE JOURNEY a | AUTHENTICATED PRIVATE STATE · SIGNED IN · NOT SELECTED | AUTHENTICATED PRIVATE STATE · SIGNED IN · SELECTED (the requ | AUTHENTICATED PRIVATE STATE · SIGNED IN · current sele
[aria-label] Previous destination	ACCESSIBILITY	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[state] disabled	GUEST/PUBLIC	no		445	/ (index.html) | /about-you · CONTINUE | /about-you · VIEW ALL STEPS | /accommodation | /experience?id=bkk-alati | /experience?id=bkk-commons | /experience?id=bkk-curvy | /experience?id=bkk-dib | /experience?id=bkk-diorlv | /experience?id=bkk-dusit | /experience?id=bkk-emquartier | /experience?id=bkk-harudot | /experience?id=bkk-iconsiam | /experience?id=bkk-igniv | /experience?id=bkk-letsrelax | 	accommodation.html | assets/prep-shell.js | assets/prep-shell.js continueTo() | experience.html | experience.html · assets/experiences.js · assets/experience-galleries.js | experience.html · assets/pr	AUTHENTICATED PRIVATE STATE · CEREMONY · CHAIR TAPPED (E4 se | AUTHENTICATED PRIVATE STATE · CEREMONY · CHANGING · current  | AUTHENTICATED PRIVATE STATE · CEREMONY · GIVE THIS CHAIR BAC | AUTHENTICATED PRIVATE STATE · CEREMONY · HELD (after CONTINU | AUTHENTICATED PRIVATE STATE · CEREMONY · REFUSED
[aria-label] Next destination	ACCESSIBILITY	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] The green gateway at Souphattra Heritage, Vientiane	ACCESSIBILITY	yes	venue / property names (Operations Master Overview)	3	/ (index.html) | /invitation | /voyage	index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Sunday, 28 February 2027	GUEST/PUBLIC	yes	dates (brief §2 · Overview_Hotel_Restaurant)	5	/ (index.html) | /wedding-preparation · the plan | /your-journey	index.html | wedding-preparation.html · assets/seating.js · assets/seatlabels.js · assets/seatpass.js | your-journey.html | your-journey.html · assets/journey.js · assets/rooms.js · assets/stay.js · a	AUTHENTICATED PRIVATE STATE · CEREMONY · SEAT CONFIRMED (E4) | AUTHENTICATED PRIVATE STATE · DINNER · SEAT CONFIRMED (A4 ·  | AUTHENTICATED PRIVATE STATE · SIGNED IN · COMPLETE JOURNEY a | AUTHENTICATED PRIVATE STATE · SIGNED IN · nothing chosen · e | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out ·
The Wedding	GUEST/PUBLIC	no		20	/ (index.html) | / · the site menu | /about-you · VIEW ALL STEPS | /invitation | /invitation (after OPEN ANOTHER INVITATION) | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /journeys | /review | /review (deep link while 03–05 are incomplete) | /voyage | /wedding	assets/aman.js buildMenu() | assets/prep-shell.js | assets/prep-shell.js gate() | assets/prep-shell.js leave("another") | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | journe	AUTHENTICATED PRIVATE STATE · CONFIRMED BY GUEST RELATIONS | AUTHENTICATED PRIVATE STATE · LOCKED · the gate lands on the | AUTHENTICATED PRIVATE STATE · SENT · RECEIVED by Guest Relat | AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · SIGNED IN · attendin
The temple in the morning, coffee and cake on the return, the vows at the green door and dinner poolside. Coffee and cake, the vows and the dinner are hosted for every guest; Buddhist giving at the temple is personal.	PUBLIC	yes	seating geometry (brief §12); payer status (brief §10 · §13)	1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
The wedding days	PUBLIC	no		2	/ (index.html) | /destination	destination.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-labelledby → spoken] Souphattra Heritage Vientiane	ACCESSIBILITY	yes	venue / property names (Operations Master Overview)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
The venue	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Souphattra Heritage Vientiane	GUEST/PUBLIC	yes	venue / property names (Operations Master Overview)	14	/ (index.html) | / · the site menu | /accommodation | /room?stay=souphattra&room=grand-majestic | /room?stay=souphattra&room=heritage | /room?stay=souphattra&room=heritage-executive | /room?stay=souphattra&room=heritage-grand-premier | /room?stay=souphattra&room=noble-courtyard | /room?stay=souphattra&room=souphattra-majestic | /room?stay=souphattra&room=souphattra-presidential | /voyage	accommodation.html | assets/aman.js buildMenu() | index.html | room.html | room.html · assets/rooms-data.js | room.html · assets/stay.js unitsHtml() | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · FULLY BOOKED (one  | AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy holds Room C | AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px | SIGNED-OUT PUBLIC STATE · MENU OPEN · every group exp
One address for the wedding day and the wedding stay: the heritage houses around the courtyard, the garden, the pool. Seen from above, then close.	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-describedby → spoken] On the photograph: Lobby, Rooms, Coffee & Cake · Breakfast, Wedding Ceremony, Wedding Dinner · Poolside. Every place of the venue is listed below.	ACCESSIBILITY	no	seating geometry (brief §12)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[alt] Souphattra Heritage Vientiane from above: the heritage houses with their tiled roofs around the courtyard garden and the swimming pool	ACCESSIBILITY	yes	venue / property names (Operations Master Overview)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
01	GUEST/PUBLIC	no		11	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /invitation | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /voyage	accommodation.html | assets/prep-shell.js | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOTHE | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN ·
Lobby	PUBLIC	no		6	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
02	GUEST/PUBLIC	no		17	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /invitation | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /voyage	accommodation.html | assets/prep-shell.js | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOTHE | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN ·
Rooms	PUBLIC	no		12	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
03	GUEST/PUBLIC	no		11	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /invitation | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /voyage	accommodation.html | assets/prep-shell.js | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOTHE | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN ·
Coffee & Cake · Breakfast	PUBLIC	no		6	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
04	GUEST/PUBLIC	no		11	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /invitation | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /voyage	accommodation.html | assets/prep-shell.js | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOTHE | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN ·
Wedding Ceremony	GUEST/GUEST RELATIONS/PUBLIC	no		16	/ (index.html) | /accommodation | /voyage | email · GUEST EMAIL · HOST WITH A FIXED ARRANGEMENT | email · GUEST EMAIL · INITIAL (journey received) | email · GUEST EMAIL · UPDATE (journey updated, version 2) | email · GUEST RELATIONS EMAIL · INITIAL | email · GUEST RELATIONS EMAIL · UPDATE	accommodation.html | index.html | src/mail-templates.js | voyage.html	GENERATED · email | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
05	GUEST/PUBLIC	no		11	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /invitation | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /voyage	accommodation.html | assets/prep-shell.js | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOTHE | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN ·
Wedding Dinner · Poolside	GUEST/PUBLIC	no	seating geometry (brief §12)	12	/ (index.html) | /accommodation | /tickets | /tickets (the Bride) | /voyage | /wedding-preparation | /wedding-preparation (the Bride) | /wedding-preparation · the plan	accommodation.html | index.html | tickets.html | tickets.html · assets/seatpass.js card() · assets/travelpass.js card() | voyage.html | wedding-preparation.html · assets/seating.js · assets/seatlabels	AUTHENTICATED PRIVATE STATE · HOSTS · YOUR WEDDING SEATS · B | AUTHENTICATED PRIVATE STATE · HOSTS · the Front centre seat  | AUTHENTICATED PRIVATE STATE · SEATING CLOSED (frozen) · the  | AUTHENTICATED PRIVATE STATE · SIGNED IN · Steffie · seat tic | AUTHENTICATED PRIVATE STATE · SIGNED IN · comple
Souphattra Heritage Vientiane from above · the real photograph · the labels on the real places	PUBLIC	yes	venue / property names (Operations Master Overview)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
On the photograph: Lobby, Rooms, Coffee & Cake · Breakfast, Wedding Ceremony, Wedding Dinner · Poolside. Every place of the venue is listed below.	PUBLIC	no	seating geometry (brief §12)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] Venue map	ACCESSIBILITY	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Arrival · 27 February	PUBLIC	yes	dates (brief §2 · Overview_Hotel_Restaurant)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Two nights · 27 February – 1 March	PUBLIC	yes	dates (brief §2 · Overview_Hotel_Restaurant)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
From 12:00 on the wedding day · breakfast every morning	PUBLIC	yes	programme times (brief §2 · Master_Timeline · Owner decisions)	3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Sunday, 28 February 2027 · 15:30	GUEST/PUBLIC	yes	programme times (brief §2 · Master_Timeline · Owner decisions); dates (brief §2 · Overview_Hotel_Restaurant)	7	/ (index.html) | /accommodation | /voyage | generated · seat ticket PDF · Vow Ceremony seat ticket (a guest) | generated · seat ticket PDF · Vow Ceremony · the Groom (front centre only) | generated · seat ticket PDF · YOUR WEDDING SEATS · both tickets on one page (a guest) | generated · seat ticket PDF · YOUR WEDDING SEATS · the Bride (front centre + dinner)	accommodation.html | assets/seatpass.js compose() | index.html | voyage.html	GENERATED · the text as read back from the PDF | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Sunday, 28 February 2027 · 19:30	GUEST/PUBLIC	yes	programme times (brief §2 · Master_Timeline · Owner decisions); dates (brief §2 · Overview_Hotel_Restaurant)	7	/ (index.html) | /accommodation | /voyage | generated · seat ticket PDF · Wedding Dinner seat ticket (a guest · run A · Poolside) | generated · seat ticket PDF · Wedding Dinner seat ticket (a guest · run B) | generated · seat ticket PDF · YOUR WEDDING SEATS · both tickets on one page (a guest) | generated · seat ticket PDF · YOUR WEDDING SEATS · the Bride (front centre + dinner)	accommodation.html | assets/seatpass.js compose() | index.html | voyage.html	GENERATED · the text as read back from the PDF | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
06	GUEST/PUBLIC	no		8	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /invitation | /invitation · VIEW ALL STEPS | /invitation · the leave actions | /voyage	accommodation.html | assets/prep-shell.js | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOTHE | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN ·
Swimming pool	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Every day of the stay	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
07	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Courtyard garden	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Between the houses	PUBLIC	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-labelledby → spoken]	ACCESSIBILITY	no		3	/ (index.html) | /accommodation | /voyage	accommodation.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[state] live region · polite	GUEST/PUBLIC	no		50	/ (index.html) | /about-you | /accommodation | /experience?id=bkk-alati | /experience?id=bkk-commons | /experience?id=bkk-curvy | /experience?id=bkk-dib | /experience?id=bkk-diorlv | /experience?id=bkk-dusit | /experience?id=bkk-emquartier | /experience?id=bkk-harudot | /experience?id=bkk-iconsiam | /experience?id=bkk-igniv | /experience?id=bkk-letsrelax | /experience?id=bkk-lvvisionary | /experie	about-you.html | about-you.html · assets/guest.js · assets/docs.js | accommodation.html | assets/prep-shell.js | assets/prep-shell.js leave("another") | experience.html | experience.html · assets/expe	AUTHENTICATED PRIVATE STATE · CONFIRMED BY GUEST RELATIONS | AUTHENTICATED PRIVATE STATE · CONFIRMED · a step opened agai | AUTHENTICATED PRIVATE STATE · SENT · RECEIVED by Guest Relat | AUTHENTICATED PRIVATE STATE · SIGNED IN · COMPLETE JOURNEY a | AUTHENTICATED PRIVATE STATE · SIGNED IN · NOT SELE
[aria-label] Featured journeys	ACCESSIBILITY	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
One invitation · one journey	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Featured journeys	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Every stage of the journey is chosen by you, one decision at a time.	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] Two BTS Skytrain carriages above the street, King Power Mahanakhon behind them, Bangkok	ACCESSIBILITY	yes		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
